Cost name	Cost subcategory	Item	Units	Unit cost	Default value (2022 USD)	Reference	URL
Epidemiology training consumables	N/A	Cellular phone with key contacts	1	"$1,020.00 "	"$1,020.00 "	CDC Field Epidemiology Training Module; Based on a 12 month plan with 6gb data and 150 voice minutes. 	https://www.mtn.ng/device-financing/
Epidemiology training consumables	N/A	"Laptop computers with appropriate software (e.g., Epi Info, SAS, or R)"	1	$900.00 	$900.00 	CDC Field Epidemiology Training Module; MS Office $320 + average laptop $580. Rounded	https://www.microsoft.com/en-ng/microsoft-365/p/office-home-business-2021/cfq7ttc0hpn4 https://www.ocity.ng/laptop-prices-in-nigeria/
Epidemiology training consumables	N/A	Digital camera	1	$119.99 	$119.99 	"CDC Field Epidemiology Training Module; Cost of a small waterproof digital camera, for example,  Minolta MN30WP 21 MP / 1080P HD Waterproof Digital Camera (Teal) "	https://www.amazon.com/Minolta-MN30WP-Waterproof-Digital-Camera/dp/B0B5FJ8CZD/ref=sr_1_16
Epidemiology training consumables	N/A	Ballpoint pen	5	$0.26 	$1.30 	CDC Field Epidemiology Training Module; Cost from Amazon ($0.26/pen)	https://www.amazon.com/Paper-Mate-Ballpoint-Medium-3311131/dp/B00006IE5K
Epidemiology training consumables	N/A	Pencil	5	$0.21 	$1.05 	CDC Field Epidemiology Training Module; Cost from Amazon ($0.21/pencil)	https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-13830/dp/B006CSPZK4/ref=sr_1_6
Epidemiology training consumables	N/A	Eraser	5	$0.50 	$2.50 	GHSS Assumption; Cost from Amazon ($0.50/eraser)	https://www.amazon.com/Paper-Mate-Pearl-Erasers-Large/dp/B00094H4LU/ref=sr_1_5
Epidemiology training consumables	N/A	"Notebook (A4 hard cover, squared paper)"	2	$16.99 	$33.98 	CDC Field Epidemiology Training Module; Cost from Amazon	https://www.amazon.com/SuperBowell-Hardcover-Notebook-Expandable-Certified/dp/B08QMVFT49/ref=sxin_25_ac_d_rm
Epidemiology training consumables	N/A	Lab coats (case of 20)	0.05	$920.00 	$46.00 	Cost of Fisherbrand™ Unisex Cotton Lab Coats 	https://www.fishersci.com/shop/products/unisex-cotton-lab-coats-6/p-7113343#?keyword=lab%20coat
Epidemiology training consumables	N/A	Outbreak investigation kit	1	"$17,720.00 "	"$17,720.00 "	See unit costs below	
Epidemiology training consumables	N/A	"Disinfection, decontamination, and vector control kit"	1	$800.00 	$800.00 	See unit costs below	
Outbreak investigation kit	Basic consumables module	"Cotton wool, roll of 500g"	1	$11.91 	$11.91 	Communicable disease control in emergencies – A field manual (2005); Cost from Vivomed.com	https://www.vivomed.com/product/injury-treatment/dressings/cotton-wool
Outbreak investigation kit	Basic consumables module	Ballpoint pen	5	$0.26 	$1.30 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.26/pen)	https://www.amazon.com/Paper-Mate-Ballpoint-Medium-3311131/dp/B00006IE5K
Outbreak investigation kit	Basic consumables module	Pencil	5	$0.21 	$1.05 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.21/pencil)	https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-13830/dp/B006CSPZK4/ref=sr_1_6
Outbreak investigation kit	Basic consumables module	Eraser	5	$0.50 	$2.50 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.50/eraser)	https://www.amazon.com/Paper-Mate-Pearl-Erasers-Large/dp/B00094H4LU/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Felt-tip pen (waterproof)	5	$0.75 	$3.75 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.75/sharpie)	https://www.amazon.com/Permanent-Marker-Sharpie-Drying-Waterproof/dp/B07W2VM8M9/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	"Marking pen, water-resistant ink, black and blue"	5	$0.75 	$3.75 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon ($0.75/sharpie)	https://www.amazon.com/Permanent-Marker-Sharpie-Drying-Waterproof/dp/B07W2VM8M9/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	"Notebook (A4 hard cover, squared paper)"	5	$16.99 	$84.95 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/SuperBowell-Hardcover-Notebook-Expandable-Certified/dp/B08QMVFT49/ref=sxin_25_ac_d_rm
Outbreak investigation kit	Basic consumables module	"Pack of labels (blank, self-adhesive)"	5	$6.99 	$34.95 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Avery-Self-Adhesive-Removable-Labels-05422/dp/B00007M5GI/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Ruler	2	$1.66 	$3.32 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Westcott-School-Ruler-Scaled-103810/dp/B005H3PG5O/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Calculator	2	$7.39 	$14.78 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Casio-MS-80B-Standard-Function-Calculator/dp/B003822IRA/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Scissors	2	$6.48 	$12.96 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Fiskars-01-004761J-Softgrip-Scissors-Stainless/dp/B002YIP97K/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Thermometer	5	$6.99 	$34.95 	Communicable disease control in emergencies – A field manual (2005); Cost of digital orgal thermometer from Amazon	https://www.amazon.com/Thermometer-Adults-Digital-Fever-Light/dp/B08B8BDG42/ref=sr_1_5
Outbreak investigation kit	Basic consumables module	Flashlight/torch	5	$8.00 	$40.00 	Communicable disease control in emergencies – A field manual (2005); Cost of waterproof flashlight from Amazon	https://www.amazon.com/Vont-Flashlight-Flashlights-Water-Resistant-Accessories/dp/B089T8HDBV/ref=sr_1_8
Outbreak investigation kit	Basic consumables module	Spare batteries	5	$23.03 	$115.15 	Communicable disease control in emergencies – A field manual (2005); Cost of 28AA batteries from Amazon	https://www.amazon.com/Duracell-CopperTop-Batteries-All-Purpose-Household/dp/B08Q87MF19/ref=sr_1_6
Outbreak investigation kit	Basic consumables module	Sealing tape	5	$2.50 	$12.50 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Universal-Unv61000-General-Purpose-Sealing/dp/B0017DHFZW/ref=sxin_16_ac_d_hl
Outbreak investigation kit	Basic consumables module	"Normal saline (0.9%), 500mL"	5	$4.95 	$24.75 	Communicable disease control in emergencies – A field manual (2005); Cost from Supplyclinic.com	https://www.supplyclinic.com/items/0-9-sodium-chloride-irrigation-500ml-b-braun-medical-inc-r5201-01
Outbreak investigation kit	Basic consumables module	Sharps container for disposal of needles and syringes	5	$13.24 	$66.20 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon for a container	https://www.amazon.com/Biohazard-Disposal-Container-Oakridge-Products/dp/B095PRGQZ2/ref=sr_1_10
Outbreak investigation kit	Basic consumables module	Chlorine granules	1	$19.95 	$19.95 	"Communicable disease control in emergencies – A field manual (2005) calls for 500 mg/containers, assume one larger container is purchased and then re-allocated across new containers"	https://www.uswatersystems.com/granular-chlorine-8oz-jar.html?srsltid=AR5OiO1DxptdDjIQQzfHkMCERac_r2K-zR7vLcD5vHtSPLHkv7vRikekWSU
Outbreak investigation kit	Basic consumables module	Digital camera	2	$119.99 	$239.98 	"CDC Field Epidemiology Training Module; Cost of a small waterproof digital camera, for example,  Minolta MN30WP 21 MP / 1080P HD Waterproof Digital Camera (Teal) "	https://www.amazon.com/Minolta-MN30WP-Waterproof-Digital-Camera/dp/B0B5FJ8CZD/ref=sr_1_16
Outbreak investigation kit	Common consumables for collection of all specimens	Sterile gauze swabs (pack of 100)	5	$16.19 	$80.95 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100 swabs from Amazon	https://www.amazon.com/100pc-Large-Sterile-Gauze-Wounds/dp/B09VPRMM4K/ref=sr_1_6
Outbreak investigation kit	Common consumables for collection of all specimens	Alcohol-based disinfecting swabs (pack of 100)	5	$4.99 	$24.95 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100 pads from Amazon	https://www.amazon.com/Alcohol-Individually-Sterilized-Antiseptic-Professional/dp/B08DDBHX3D/ref=sr_1_19
Outbreak investigation kit	Common consumables for collection of all specimens	Microscope slides (pack of 100)	5	$4.05 	$20.25 	"Communicable disease control in emergencies – A field manual (2005); Cost from Amazon assumes 100 slides/box, manual assumes 50 slides/box, so Amazon price divided by two"	https://www.amazon.com/OPTO-EDU-E35-3501-Microscope-Slides-100-Pieces/dp/B0747R2M26/ref=sr_1_4
Outbreak investigation kit	Common consumables for collection of all specimens	Microscope cover glasses (pack of 100)	5	$1.26 	$6.30 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon is $12.59/10 boxes each with 100 slides	https://www.amazon.com/Pieces-Microscope-Slides-18x18mm-100Pcs/dp/B083GX5TLM/ref=sr_1_2_sspa
Outbreak investigation kit	Common consumables for collection of all specimens	"Storing box for microslides, wooden frame"	2	$25.49 	$50.98 	"Communicable disease control in emergencies – A field manual (2005); Cost from Amazon; costing only 1 given additional volume for slide, manual costs 5"	https://www.amazon.com/Wooden-slides-Latches-75x25mm-Slides/dp/B0787HDXTW/ref=sr_1_7
Outbreak investigation kit	Common consumables for collection of all specimens	Universal container (pack of 500)	5	$190.10 	$950.50 	Communicable disease control in emergencies – A field manual (2005); cost for pack of 500	https://www.usplastic.com/catalog/item.aspx
Outbreak investigation kit	Common consumables for collection of all specimens	Braunoderm (1 L)	5	$28.77 	$143.85 	Communicable disease control in emergencies – A field manual (2005)	https://pharmacyapozona.com/product/braunoderm-n-post-colored-1-l/
Outbreak investigation kit	Common consumables for collection of all specimens	Povidone iodine solution (500 mL)	5	$9.25 	$46.25 	Communicable disease control in emergencies – A field manual (2005); cost for 16 oz (473.176 ml) which is slightly less than 500ml noted in manual; approximate cost consistant	https://www.walmart.com/ip/Dynarex-1415-Iodine-Prep-Solution-1-Each/477540558
Outbreak investigation kit	Common consumables for collection of all specimens	Alcoholic hand rub with dispenser	5	$3.49 	$17.45 	Communicable disease control in emergencies – A field manual (2005)	https://www.cvs.com/shop/cvs-health-instant-hand-sanitizer-prodid-1020522?skuid=783753&cgaa=QWxsb3dHb29nbGVUb0FjY2Vzc0NWU1BhZ2Vz
Outbreak investigation kit	Blood module	"Blood lancets, sterile, disposable (pack of 200)"	2.5	$5.84 	$14.60 	"Communicable disease control in emergencies – A field manual (2005); Cost of Flinn Scientific sterile lancets is $5.84/200 lancets, manual requests pack of 500"	https://www.flinnsci.com/lancets-blood-sterile-pkg.-of-100/ab1223/
Outbreak investigation kit	Blood module	Monovettes (10 ml)	1	$66.14 	$66.14 	"Communicable disease control in emergencies – A field manual (2005); Cost of Fischer Scientific Monovette is $33.07/Pack of 50, manual requests pack of 100 (33.07*2)"	https://www.fishersci.com/shop/products/v-monovette-urine-z-10ml/NC1030814
Outbreak investigation kit	Blood module	"Monovettes (EDTA, 3 ml) "	1	$45.00 	$45.00 	"Cost of Fischer Scientific Monovette is $22.50/Pack of 50, manual requests pack of 100 (22.50*2)"	"https://www.fishersci.com/shop/products/vacuette-k-sub-3-sub-edta-blood-collection-tubes/p-2770750#?keyword=Monovettes%20(EDTA,%203%20ml)"
Outbreak investigation kit	Blood module	Needles for Monovettes 21G  (pack of 100)	1	$14.99 	$14.99 	Communicable disease control in emergencies – A field manual (2005); cost for pack of 100	https://medlabgear.com/products/bd-precisionglide-21g-1-needle?variant=30873817776205
Outbreak investigation kit	Blood module	Needles for Monovettes 23G  (pack of 100)	1	$14.99 	$14.99 	Communicable disease control in emergencies – A field manual (2005); cost for pack of 100	https://medlabgear.com/products/bd-precisionglide-23g-1-needle
Outbreak investigation kit	Blood module	Butterfly needles for blood culture 21G  (pack of 100)	1	$55.00 	$55.00 	Communicable disease control in emergencies – A field manual (2005); cost for pack of 100	https://facemedstore.com/collections/blood-collection/butterfly-needle-21g-3-4-inch-bag-of-100
Outbreak investigation kit	Blood module	Disposable soft transfer pipettes 	1	$21.88 	$21.88 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/Transfer-Pipette-General-Purpose-Narrow/dp/B01HK4Y3G0/ref=sr_1_4
Outbreak investigation kit	Blood module	Racks for blood tubes 	5	$7.99 	$39.95 	Communicable disease control in emergencies – A field manual (2005); Cost from Amazon	https://www.amazon.com/BIPEE-Plastic-Wells-White-Detachable/dp/B01HPQOMY6/ref=sr_1_11
Outbreak investigation kit	Blood module	Bandaids (pack of 100)	5	$7.69 	$38.45 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100 Bandaid brand bandaids	https://www.target.com/p/band-aid-flexible-fabric-100ct/-/A-14796602
Outbreak investigation kit	Blood module	Blood culture bottles	5	$835.00 	"$4,175.00 "	"Cost assumption varies from manual, which assumes a different brand. Assume 5 packs of 20 culture bottles."	https://www.fishersci.com/shop/products/thermo-scientific-oxoid-signal-blood-culture-system/R65410#?keyword=blood%20culture%20bottle
Outbreak investigation kit	Blood module	Tourniquets (pack of 25)	5	$20.25 	$101.25 	Pack of 25 latex-free tourniquets	https://www.fishersci.com/shop/products/vacutainer-latex-free-tourniquets/026576
Outbreak investigation kit	Respiratory module	Tongue depressor (pack of 100)	5	$8.68 	$43.40 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100	https://www.amazon.com/Tongue-Depressors-Sterile-Adult-x0-6875/dp/B000F76VBK
Outbreak investigation kit	Respiratory module	Flexible wire calcium alginate tipped swab (for pertussis)	2	$252.80 	$505.60 	"Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100; Fisher Scientific cost is $126.40 for a pack of 50, manual assumes pack of 100"	https://www.fishersci.com/shop/products/puritan-medical-calcium-alginate-swabs-4/22029500
Outbreak investigation kit	Respiratory module	"Syringe for suction, 50/60 ml with catheter tip "	2	$27.99 	$55.98 	Communicable disease control in emergencies – A field manual (2005); Cost for 50 syringes	https://www.amazon.com/Syringe-Sterile-Catheter-BH-SUPPLIES/dp/B07VD9Z3YB
Outbreak investigation kit	Respiratory module	Transport swabs with transport medium 	2	$460.00 	$920.00 	Communicable disease control in emergencies – A field manual (2005); Fisher scientific cost of  BD Liquid Amies Elution Swab (Eswab) Collection/Transport System is $230.00 / Pack of 50; multiply by two for pack of 100	https://www.fishersci.com/shop/products/bd-liquid-amies-elution-swab-eswab-collection-transport-system-2/B220532
Outbreak investigation kit	Respiratory module	Virus transport medium (Cellmatics) 	1	$237.50 	$237.50 	"Communicable disease control in emergencies – A field manual (2005); Cost $95/pack of 20, manual requests 50"	https://www.aaawholesalecompany.com/har-r99-pk.html
Outbreak investigation kit	Urine module	Urine container with boric acid	1	$600.00 	$600.00 	"Communicable disease control in emergencies – A field manual (2005); Cost $15/pack of 10, manual requests 400"	https://www.zymoresearch.com/products/urine-collection-cup
Outbreak investigation kit	Stool module	Rectal swabs for adults	1	$9.50 	$9.50 	"Communicable disease control in emergencies – A field manual (2005); Cost $95/pack of 20, manual requests pack of 25, Cost $18.99/pack of 50"	https://www.graylinemedical.com/products/amd-ritmed-inc-procto-sigmoid-poly-rectal-preparation-swabs-proctoscopic-rectal-swab-16-57500
Outbreak investigation kit	Stool module	Rectal swabs for infants	1	$9.50 	$9.50 	"Communicable disease control in emergencies – A field manual (2005); Cost $95/pack of 20, manual requests pack of 25, Cost $18.99/pack of 50"	https://www.graylinemedical.com/products/amd-ritmed-inc-procto-sigmoid-poly-rectal-preparation-swabs-proctoscopic-rectal-swab-16-57500
Outbreak investigation kit	Stool module	Stool collection kits with spoon	1	$430.00 	$430.00 	"Communicable disease control in emergencies – A field manual (2005); Cost $95/pack of 20, manual requests pack of 400, Cost $43/pack of 100"	https://mfimedical.com/products/dynarex-stool-specimen-container
Outbreak investigation kit	Stool module	Tubes with Cary-Blair transport medium	1	"$1,648.00 "	"$1,648.00 "	Communicable disease control in emergencies – A field manual (2005); Cost for case of 100	https://www.fishersci.com/shop/products/remel-cary-blair-transport-medium/R060450
Outbreak investigation kit	CSF Module	Sterile cotton swab	5	$9.34 	$46.70 	Communicable disease control in emergencies – A field manual (2005); Cost for pack of 100	https://uniquesafetysupplies.com/products/medline-cotton-tipped-applicators-6-100-applicators-box-mds202000
Outbreak investigation kit	CSF Module	Bottle with Trans Isolate media 	1	$870.00 	$870.00 	"Communicable disease control in emergencies – A field manual (2005); Cost $87/pack of 10, manual requests pack of 100"	https://www.himediastore.com/hicombi-dual-performance-trans-isolate-medium-10bt
Outbreak investigation kit	CSF Module	"Spinal needle, 25G x 3.5 "	5	$43.92 	$219.60 	Communicable disease control in emergencies – A field manual (2005); Cost $43.92/pack of 25	https://www.vitalitymedical.com/mckesson-quincke-spinal-needle-several-sizes.html
Outbreak investigation kit	CSF Module	"Spinal needles, 22G x 3.5 "	5	$40.82 	$204.10 	"Communicable disease control in emergencies – A field manual (2005); Manual requests 23G instead of 22G, but assume cost is similar"	https://www.vitalitymedical.com/mckesson-quincke-spinal-needle-several-sizes.html
Outbreak investigation kit	CSF Module	"Needle for transfer into medium, 21G "	5	$40.82 	$204.10 	"Communicable disease control in emergencies – A field manual (2005); Manual requests 21G instead of 22G, but assume cost is similar"	https://www.vitalitymedical.com/mckesson-quincke-spinal-needle-several-sizes.html
Outbreak investigation kit	CSF Module	"Microtube 2.0 ml, PP, with mouth screw cap and skirted base"	1	$42.73 	$42.73 	"Communicable disease control in emergencies – A field manual (2005); Cost $427.30/pack of 500, manual requests 50"	https://www.thomassci.com/Laboratory-Supplies/Centrifuge-Tubes/_/Screw-Cap-Micro-Tubes1?q=1147A23
Outbreak investigation kit	CSF Module	"Local anaesthetics (lidocaine 2% 2ml),"	1	$16.56 	$16.56 	Communicable disease control in emergencies – A field manual (2005); Manual requests 200ml total; cost for 100ml multiplied by 2	https://www.walmartpetrx.com/p-2637-lidoject-injection-lidocaine-hcl-2-100-ml.aspx
Outbreak investigation kit	CSF Module	25G needle	1	$175.68 	$175.68 	"Communicable disease control in emergencies – A field manual (2005); Manual requests 100 needles, cost for 25 needles multipled by 4"	https://www.vitalitymedical.com/mckesson-quincke-spinal-needle-several-sizes.html
Outbreak investigation kit	CSF Module	5 mL syringe	1	$53.90 	$53.90 	"Communicable disease control in emergencies – A field manual (2005); Manual requests 100, cost for 50 needles multipled by 2"	https://www.fishersci.com/shop/products/sterile-syringes-single-use-3/14955460
Outbreak investigation kit	Self-protection module	Disposable surgical gowns	10	$6.25 	$62.50 	Communicable disease control in emergencies – A field manual (2005)	https://checkout.medicalsuppliesco.us/halyard-ultra-fabric-reinforced-surgical-gown-large-1ea
Outbreak investigation kit	Self-protection module	Disposable surgical face masks (pack of 50)	5	$7.95 	$39.75 	Communicable disease control in emergencies – A field manual (2005); cost for box of 50	https://www.global-medical-solutions.com/3-layer-surgical-mask-astm-ii-box-of-50.html
Outbreak investigation kit	Self-protection module	Disposable gloves (pack of 100)	5	$13.62 	$68.10 	Communicable disease control in emergencies – A field manual (2005); cost for box of 100	https://www.walmart.com/ip/Great-Value-Vinyl-Disposable-Gloves-One-Size-100-Ct/599047883
Outbreak investigation kit	Self-protection module	Goggles	10	$3.86 	$38.60 	Communicable disease control in emergencies – A field manual (2005); cost per single goggle (sold as pack of 3)	https://www.walmart.com/ip/Surgical-Goggles-Pack-of-3/1727295082
